Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
18,Морковь,5907,715,Овощи,Может использоваться в детском питании начиная с раннего возраста.,2013-02-04,2023-05-17,1.2,Sold
19,Розмарин сушеный,7436,467,Бакалея,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2006-01-01,2018-05-09,2.17,Returned
20,Сервелат,5014,628,Мясо,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2004-01-18,2024-03-03,0.74,Shipping
21,Шаверма,4302,271,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1993-01-14,1999-02-11,3.76,Delivered
22,Липецкий бювет,4115,469,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2005-05-13,2015-01-06,0.12,Sold
23,Каша из ячменя,5336,891,Бакалея,Рекомендуется для ежедневного потребления в умеренных количествах.,2003-11-06,2022-06-03,3.45,Out of Stock
24,Мускатный орех молотый,3687,554,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2004-06-05,2019-09-10,0.3,Backorder
25,Каша из киноа,4694,95,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2019-01-01,2022-02-08,3.48,Shipping
26,Салями,5040,519,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2012-02-02,2021-02-23,1.82,Awaiting Payment
27,Перец болгарский,2979,271,Овощи,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2022-10-03,2025-05-01,2.28,Pending
28,Редис,1613,456,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2003-05-02,2016-03-09,4.5,Available for Pickup
29,Черешня,3911,231,Фрукты,Подходит для использования в качестве замены традиционных молочных продуктов.,1991-01-05,2028-01-13,0.6,Available for Pickup
30,Рис,5779,276,Бакалея,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2019-03-11,2020-03-03,1.14,On Backorder
31,Курт,1679,749,Молочные продукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1996-05-07,2020-08-12,3.94,Shipping
32,Тыква,4887,317,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2010-05-03,2026-02-09,1.18,Cancelled
33,Портулак,1309,909,Овощи,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2011-03-04,2026-01-07,2.22,On Backorder
34,Пакеты для Всемирного дня книг,4837,691,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2017-06-05,2024-02-15,4.37,Returned
35,Кострец,1909,18,Мясо,Используется в косметологии для ухода за кожей и волосами.,2006-01-02,2018-07-02,4.3,Backorder
36,Гусиные потроха,6852,499,Мясо,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2021-04-09,2029-04-01,3.34,Delivered
37,Новошахтинская,9308,134,Напитки,Отличается высоким уровнем биологической доступности питательных веществ.,2007-01-14,2015-09-02,0.37,Cancelled
38,Смузи шпинатно-банановый,1352,647,Напитки,Поддерживает иммунитет и общее состояние здоровья.,2014-02-10,2025-01-21,2.9,Pending
39,Лук-порей,7260,238,Овощи,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1995-06-05,2020-06-06,1.96,Shipping
40,Моющее средство для стекол,4893,231,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2003-07-21,2006-01-10,4.17,Shipping
41,Подушки,8322,750,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-10-03,2015-01-23,0.67,Awaiting Payment
42,Грудинка копченая,1560,99,Мясо,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2021-07-09,2021-10-07,0.67,On Backorder
43,Панчетта,4925,59,Мясо,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2011-04-12,2021-02-04,3.55,Backorder
44,Помело,9285,456,Фрукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2021-03-05,2029-10-02,0.84,New
45,Простокваша,7541,842,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2000-05-03,2010-07-01,0.11,Out of Stock
46,Банан,9441,606,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2015-01-07,2023-03-05,2.92,Cancelled
47,Камут,2804,882,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1993-04-04,2018-04-09,1.63,Shipping
48,Катык,3816,676,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2002-01-10,2014-01-12,1.74,Backorder
49,Шашлык,6283,666,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2014-06-23,2016-07-01,3.11,Temporarily Unavailable
50,Мешки для мусора,545,68,Товары для дома,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1992-04-04,2018-08-02,1.83,Backorder
51,Шпинат,7360,415,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1993-03-04,2027-03-17,0.71,On Backorder
52,Пельмени,5413,801,Мясо,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2021-03-06,2024-01-01,3.78,Pending
53,Капуста белокочанная,4480,494,Овощи,Помогает поддерживать нормальный уровень pH в организме.,1995-01-19,2021-10-11,4.54,Backorder
54,Консервный нож,6966,299,Товары для дома,Может использоваться в косметических процедурах для увлажнения кожи.,1991-06-08,1993-01-06,4.13,Shipping
55,Мороженое,1300,256,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1994-05-02,1996-03-12,3.87,New
56,Панчетта,7364,649,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1995-04-08,2015-04-15,3.94,Sold
57,Великолукская,9808,531,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,2009-01-20,2011-09-02,2.99,Available for Pickup
58,Мацони,5833,722,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2020-01-02,2025-02-17,0.58,Backorder
59,Амурская,4539,399,Напитки,Помогает поддерживать нормальный уровень артериального давления.,2003-02-16,2023-01-04,2.0,Refunded
60,Чебуреки,5545,64,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-01-01,2027-03-09,1.33,Sold
61,Тюменская,681,896,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,2002-03-08,2006-09-21,0.41,In Stock
62,Алтайская россыпь,6747,197,Напитки,Придает блюдам особую нежность и насыщенность.,2022-05-01,2024-02-01,1.23,In Stock
63,Патиссон,3497,751,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2004-03-01,2009-01-01,0.16,Backorder
64,Симферопольская,4213,751,Напитки,Помогает сохранять бодрость и активность в течение дня.,2011-01-05,2023-08-09,4.25,In Stock
65,Колбаса вареная,5718,728,Мясо,Подходит для использования в специализированных диетах и лечебных программах.,2013-06-09,2024-09-17,0.3,Out of Stock
66,Пакеты для Дня смеха,4382,971,Товары для дома,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1994-06-15,2004-02-01,1.75,New
67,Соль,5836,582,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1994-04-02,2017-02-03,1.47,In Stock
68,Молочный коктейль,1409,909,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2000-02-01,2007-01-06,0.82,New
69,Абрикос,4840,695,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1990-03-17,2012-03-07,1.03,Backorder
70,Яблоко,2254,618,Фрукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1994-01-08,2007-05-14,3.3,Awaiting Review
71,Пастернак,2241,648,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2011-07-16,2015-04-28,3.21,New
72,Молоко,1118,754,Молочные продукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2017-04-04,2027-01-10,4.5,Awaiting Review
73,Манты,5063,873,Мясо,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2000-01-03,2024-05-03,1.01,Cancelled
74,Ананас,4221,829,Фрукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2018-02-01,2029-04-06,1.79,New
75,Лук-порей,9325,289,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2003-03-11,2028-04-07,0.93,Delivered
76,Сметана,4421,749,Молочные продукты,Помогает нормализовать артериальное давление и уровень холестерина.,2012-02-04,2018-01-19,2.33,Temporarily Unavailable
77,Энчиладас с мясом,1524,903,Мясо,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2013-01-03,2021-05-18,2.89,New
78,Паприка острая молотая,4005,750,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",1990-01-01,2019-01-16,1.42,Delivered
79,Брынза,8941,930,Молочные продукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2016-04-15,2018-03-13,3.85,Delivered
80,Мацони,1687,731,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1992-01-04,1993-03-05,0.12,Out of Stock
81,Помело,9515,973,Фрукты,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2019-06-11,2020-03-01,1.43,Awaiting Payment
82,Пакеты для детских вещей,9418,746,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2015-02-17,2030-01-04,3.08,New
83,Фенхель,728,221,Овощи,Отличается простотой в использовании и хранении.,2011-04-15,2030-02-09,4.76,Refunded
84,Пакеты для косметики,9927,978,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2009-05-01,2013-03-08,0.06,Temporarily Unavailable
85,Пахта,6869,703,Молочные продукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2001-03-08,2020-03-07,1.07,Cancelled
86,Копчености,3471,296,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",1997-02-01,2029-01-22,4.9,Out of Stock
87,Пакеты для Пасхи,5408,622,Товары для дома,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2007-05-07,2009-01-15,0.31,Backorder
88,Черника,4889,329,Фрукты,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1999-05-19,2008-05-01,2.58,Refunded
89,Паприка сладкая молотая,2234,651,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1991-01-07,2014-03-05,4.63,Refunded
90,Соль,4798,195,Бакалея,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2005-02-20,2030-02-05,4.59,Cancelled
91,Эскалоп,6176,348,Мясо,Придает блюдам особую нежность и насыщенность.,2002-02-10,2017-01-05,2.29,Refunded
92,Каша из дробленного риса,8963,313,Бакалея,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",1999-04-01,2027-03-08,0.33,Backorder
93,Сибирская,610,55,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2020-05-18,2022-08-03,1.39,Shipping
94,Капуста белокочанная,4194,196,Овощи,Используется в косметологии для ухода за кожей и волосами.,2003-04-08,2016-04-06,0.28,Backorder
95,Пакеты для охоты,3217,708,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1990-05-14,2022-05-08,3.21,Awaiting Review
96,Ямс,5358,922,Овощи,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2007-01-01,2012-08-09,1.95,Pending
97,Кокос,2348,372,Фрукты,Помогает улучшить когнитивные функции и память.,1991-07-12,2017-03-03,0.83,Available for Pickup
98,Кунжут белый,5881,436,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",1993-03-02,1993-07-02,3.58,Backorder
99,Кокос,8683,560,Фрукты,Придает блюдам особую нежность и насыщенность.,2013-05-06,2024-01-03,3.89,Pending
100,Мандарин,4385,623,Фрукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1996-07-21,2023-05-02,4.66,Delivered
101,Миксер,8601,680,Товары для дома,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2015-04-02,2016-02-01,4.08,Returned
102,Каша из дробленного пшена,2622,813,Бакалея,Отличается высокими показателями усвояемости организмом.,2022-01-06,2028-01-10,3.85,Pending
103,Фольга алюминиевая,2439,511,Товары для дома,Широко используется в традиционной и современной кухне.,1995-09-05,2001-01-08,3.32,Refunded
104,Консервированные бобы,6723,891,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2014-03-11,2023-05-10,0.81,Shipping
105,Карамбола,5641,62,Фрукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2012-02-24,2028-01-02,1.87,Pending
106,Волжанка,8243,310,Напитки,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2003-01-01,2007-02-11,1.31,Awaiting Payment
107,Лимон,7602,273,Фрукты,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2006-12-07,2020-01-07,1.26,In Stock
108,Пакеты для животных,7136,481,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1991-01-01,2012-03-12,4.85,New
109,Кокосовая вода,3487,675,Напитки,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2022-04-07,2025-08-01,2.46,Temporarily Unavailable
110,Каймак,2181,590,Молочные продукты,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2002-01-12,2022-03-14,2.84,On Backorder
111,Камчатская,6867,561,Напитки,Может использоваться в детском питании начиная с раннего возраста.,2011-03-10,2018-02-03,0.1,Available for Pickup
112,Кетчуп,6358,70,Бакалея,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2010-01-28,2017-01-03,1.96,In Stock
113,Инжир,3809,754,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2018-07-18,2025-05-17,3.39,Backorder
114,Мука пшеничная,456,214,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",2009-11-04,2016-03-04,3.77,Awaiting Payment
115,Инжир,6933,720,Фрукты,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2015-02-20,2017-03-01,2.3,Out of Stock
116,Зубная щетка,9503,427,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2006-02-07,2022-01-20,0.81,Available for Pickup
117,Душистый перец горошком,953,851,Бакалея,Используется в косметологии для ухода за кожей и волосами.,1998-04-07,2008-05-05,4.48,On Backorder
118,Каша из дробленой ячменя,6400,241,Бакалея,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2017-01-01,2023-03-12,2.94,Available for Pickup
119,Половники,6441,25,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2006-03-09,2027-04-10,2.41,New
120,Каша из теффа,3690,663,Бакалея,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2011-01-12,2018-01-05,0.45,New
121,Каша из дробленной манной крупы,327,995,Бакалея,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2011-08-03,2014-01-09,3.34,Out of Stock
122,Горошек консервированный,741,624,Бакалея,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2005-01-21,2013-03-03,3.3,Backorder
123,Камамбер,444,408,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1998-01-15,2030-08-03,3.11,Sold
124,Сорго,8009,357,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2017-06-03,2025-08-08,3.08,Delivered
125,Якутская,1255,100,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2013-03-26,2027-02-13,2.35,Cancelled
126,Половники,8719,243,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1990-10-17,2030-04-06,4.92,On Backorder
127,Тартар,8285,77,Мясо,Подходит для использования в рецептах традиционной кухни разных стран.,2016-07-17,2024-04-13,0.19,Returned
128,Глинтвейн,9448,857,Напитки,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2009-02-04,2026-04-18,4.48,Awaiting Review
129,Сода пищевая,8309,964,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-04-20,2016-06-03,1.38,On Backorder
130,Курт,1456,778,Молочные продукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2008-02-02,2016-01-04,2.58,Cancelled
131,Клюква,4470,225,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,1996-02-03,2021-06-07,3.67,Delivered
132,Укроп,5004,878,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2014-05-12,2028-01-16,1.62,Refunded
133,Простокваша,2261,865,Молочные продукты,Служит основой для создания множества кулинарных шедевров.,1999-01-07,2026-07-03,3.31,In Stock
134,Портулак,2611,387,Овощи,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1999-08-06,2021-06-09,3.7,Returned
135,Подушки,5584,475,Товары для дома,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2007-10-11,2021-06-01,4.08,Cancelled
136,Evian,2136,291,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,2014-01-18,2028-01-10,2.43,Out of Stock
